title,doi,year,authors,abstract,keywords,relevance_score,pdf_url,publisher,journal,type
"Article with BY print pub date, CY online pub date, issue BY print pub date",10.5555/pubdate12,2000,Bob. Surname,,job satisfaction,0.0,,Test accounts,Journal of Test Deposits,journal-article
"Article with BY print pub date, CY online pub date, issue CY online BY print pub date",10.5555/pubdate9,2000,Bob. Surname,,job satisfaction,0.0,,Test accounts,Journal of Test Deposits,journal-article
"Article with BY print pub date, issue BY print pub date",10.5555/pubdate10,2000,Bob. Surname,,job satisfaction,0.0,,Test accounts,Journal of Test Deposits,journal-article
"Article with BY print pub date, issue CY online BY print pub date",10.5555/pubdate7,2000,Bob. Surname,,job satisfaction,0.0,,Test accounts,Journal of Test Deposits,journal-article
"Article with BY print pub date, CY online pub date, issue CY online pub date",10.5555/pubdate6,2000,Bob. Surname,,job satisfaction,0.0,,Test accounts,Journal of Test Deposits,journal-article
"Article with CY online pub date, issue BY print pub date",10.5555/pubdate11,0,Bob. Surname,,job satisfaction,0.0,,Test accounts,Journal of Test Deposits,journal-article
"Article with CY online pub date, issue CY onlineBY print pub date",10.5555/pubdate8,0,Bob. Surname,,job satisfaction,0.0,,Test accounts,Journal of Test Deposits,journal-article
Guide to Microforms in Print: Author/Title; Guide to Microforms in Print: Subject. 2 vols,10.1163/2468-1733_shafr_sim020030030,0,,,job satisfaction,0.0,,Brill,The SHAFR Guide Online,dataset
"Contract, Gender, and Job Satisfaction: Evidence from Benin",10.5772/intechopen.90358,0,Monsoï Kenneth Colombiano Kponou,,job satisfaction,3.0,,IntechOpen,Career Development and Job Satisfaction,book-chapter
Comparison of Published Measures of Job Satisfaction on a Taxonomy of Job Rewards.,10.21236/ada058138,1978,Robert D. Pritchard; James B. Shaw,,job satisfaction,3.0,,Defense Technical Information Center,,report
"Job Training Satisfaction, Job Satisfaction, and Job Performance",10.5772/intechopen.89117,0,Wen-Rou Huang,,job satisfaction,3.0,,IntechOpen,Career Development and Job Satisfaction,book-chapter
"Title, author, date",10.1017/cbo9781107297951.002,1983,,,job satisfaction,0.0,,Cambridge University Press,A Study of Daphnis and Chloe,book-chapter
URL Data Type,10.32388/yfmyre,0, ,,job satisfaction,0.0,,Qeios,Definitions,reference-entry
Study of Relationship between Job Stress and Job Satisfaction in Print Media,10.2139/ssrn.3323850,0,Priyadarshini Nagori; Rashmita Singh,,job satisfaction,3.0,,Elsevier BV,SSRN Electronic Journal,journal-article
The mediating effect of job satisfaction on the link between employees’ motivation and job performance,10.21203/rs.3.rs-2158214/v1,0,Berhanu Endeshaw,"<jats:title>Abstract</jats:title>
        <jats:p>The aim of the study was to examine the mediating effect of job satisfaction on the link between employees’ motivation and job performance. Stratified sampling in conjunction with simple random sampling techniques was employed to draw respondents from Tikur Anebessa Hospital, Addis Ababa, Ethiopia. Data processing used descriptive statistics, correlation and multiple regression with the help of SPSS and Amos 23 software. The result of the study found that the entire independent variables and mediator had positive relation and significant effect (i.e. explained by 53.4%) on job performance. The mediating variable (job satisfaction) has shown partially mediated the independent (employees’ motivation) and dependent variable (job performance). It is therefore recommended that motivation and job satisfaction should be taken into consideration to enhance employee job performance.</jats:p>",job satisfaction,5.0,,Research Square Platform LLC,,posted-content
"Author response for ""The causal effect of informal job search on wage and job satisfaction: evidence from Egypt and Jordan using random forest method""",10.1108/ijse-05-2022-0318/v2/response1,2022, Obbey Ahmed Elamin,,job satisfaction,4.4,,Emerald,,peer-review
From the Editor…: Make the Title Count,10.1111/j.1750-4910.2013.tb00161.x,2013,Marilyn H. Oermann; Adrianne K. Leonardelli,,job satisfaction,0.0,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1750-4910.2013.tb00161.x,Wiley,Nurse Author &amp; Editor,journal-article
Guide to Microforms in Print 2002: Incorporating International Microforms in Print. Author‐Title,10.1108/09504120310455768,2003,,,job satisfaction,0.0,,Emerald,Reference Reviews,journal-article
"Analysis of the Importance of Job Insecurity, Psychological Safety and Job Satisfaction in the CSR-Performance Link",10.3390/su12093514,0,Min-Jik Kim; Byung-Jik Kim,"<jats:p>Existing works on the association between corporate social responsibility (CSR) and performance have investigated how CSR affects external stakeholders (e.g., shareholders, customers, local communities, and environment). However, the effect of CSR on internal stakeholders such as employees who ultimately determine organizational performance is relatively underexplored. Institutional theory suggests that institutional enablers, e.g., CSR practices, influence macro-level variables, like organizational performance, via micro-level intermediating processes, such as perceptions, attitudes and behaviors of employees. Thus, this paper proposes that internal mechanisms are essential to explain the CSR-performance link. Using a 3-wave time-lagged survey data of 301 workers in South Korean firms (144 men and 157 women, average age: 40.30), this research examines how psychological safety and job satisfaction of an employee function as sequential mediators in the CSR-performance link. Moreover, the current research also investigates how job insecurity negatively moderates the link between CSR and psychological safety. The results demonstrated that psychological safety and job satisfaction function as sequential internal mediators in the link. In addition, job insecurity negatively moderated the influence of CSR on psychological safety. The results suggest that an employee’s perceptions and attitudes, such as job insecurity, psychological safety, and job satisfaction, significantly influence the relationship between CSR and performance.</jats:p>",job satisfaction,5.0,,MDPI AG,Sustainability,journal-article
"Print, Sign, Date Form",10.32388/76qi4j,0, ,,job satisfaction,0.0,,Qeios,Definitions,reference-entry
Select Bibliography (Works Published after 1800),10.1017/9781139021289.009,2019,,,job satisfaction,0.8,,Cambridge University Press,Conflict and Enlightenment,book-chapter
Publishers and Distributors incorporating Print-on-Demand,10.1515/9783110405354-021,2021,,,job satisfaction,1.2,,De Gruyter,Author Title and Subject Guide,book-chapter
Publishers and Distributors incorporating Print-on-Demand,10.1515/9783110405354-007,2021,,,job satisfaction,1.2,,De Gruyter,Author Title and Subject Guide,book-chapter
Comparison of published measures of job satisfaction on a taxonomy of job rewards.,10.1037/e437682004-001,1978,Robert D. Pritchard; James B. Shaw,,job satisfaction,3.0,,American Psychological Association (APA),PsycEXTRA Dataset,dataset
STEM Teachers' Job Satisfaction: From the Lens of Job Demands-Resources,10.3102/1571467,2020,Ke Wang,,job satisfaction,4.0,,AERA,Proceedings of the 2020 AERA Annual Meeting,proceedings-article
Effect of Mediating Variable Job Satisfaction in Relationship of Organizational Commitment and Quality of Work Life of Workforce of Select IT Companies at Hyderabad,10.37200/ijpr/v24i4/pr2020394,2020,Dr. Joiceswarnalatha R.,,job satisfaction,4.0,,Hampstead Psychological Associates,International Journal of Psychosocial Rehabilitation,journal-article
"Job Satisfaction, Management Sentiment, and Financial Performance: Text Analysis with Job Reviews from Indeed.com",10.22541/au.159596366.69672878,0,Sijie Fiona Feng,,job satisfaction,3.0,,"Authorea, Inc.",,posted-content
The Determinants of the Link between Life Satisfaction and Job Satisfaction across Europe,10.2139/ssrn.3844430,0,Natalia Soboleva,,job satisfaction,3.0,,Elsevier BV,SSRN Electronic Journal,journal-article
The Link between Relative Pay and Job Satisfaction Revisited,10.1093/esr/jcaa045,2021,Matthias Collischon; Andreas Eberl,"<jats:title>Abstract</jats:title><jats:p>This paper investigates the connection between job satisfaction and comparison pay (defined as a person’s rank within a reference group) with SOEP Data. Based on work values and social networks, we argue that the existing literature neglects heterogeneities in individual job satisfaction as well as wage trajectories along the career path. Thus, previous studies based on survey data likely overestimate the connection between job satisfaction and comparison pay. We use fixed-effects individual slopes models to account for heterogeneous time trends between individuals. We find no statistically significant correlation between comparison pay and job satisfaction. We conclude that previous estimates were biased by not accounting for idiosyncratic trends in job satisfaction due to unobserved heterogeneity, which led to an omitted variable bias.</jats:p>",job satisfaction,6.2,http://academic.oup.com/esr/article-pdf/37/2/238/36676960/jcaa045.pdf,Oxford University Press (OUP),European Sociological Review,journal-article
"Author response for ""The degree of spuriousness within the job satisfaction‐organizational citizenship behavior relationship""",10.1002/jts5.84/v2/response1,2020, Michael King;  Nathan A. Bowling;  Kevin J. Eschleman,,job satisfaction,4.0,,Hindawi Limited,,peer-review
Discrete Set Telecommunication URL Data Type,10.32388/29d9od,0, ,,job satisfaction,0.0,,Qeios,Definitions,reference-entry
An Experiment to Link Geo-Referenced Multimedia and CityGML Features,10.62973/19-090r1,0,,,job satisfaction,0.0,,"Open Geospatial Consortium, Inc.",,report
Career Development: An Enabler for Job Satisfaction,10.5772/intechopen.91683,0,Ratna Sinha,,job satisfaction,3.0,,IntechOpen,Career Development and Job Satisfaction,book-chapter
The Job Satisfaction-Job Performance Link Revisited: Specificity Matters,10.1037/e518612013-497,2005,Krista D. Mattern; Michael R. Bashshur; Scott Bedwell; Carra S. Sims,,job satisfaction,3.0,,American Psychological Association (APA),PsycEXTRA Dataset,dataset
How do writing systems shape reading and reading acquisition? Kathy Rastle DOI: 10.36505/ExLing-2020/11/0001/000416  Published in ExLing 2020 Children’s syntax: a parametric approach William Snyder DOI: 10.36505/ExLing-2020/11/0002/000417  Published in ExLing 2020 A neurophonetic perspective on articulation planning Wolfram Ziegler DOI: 10.36505/ExLing-2020/11/0003/000418  Published in ExLing 2020 Masked priming in picture naming and lexical selection Manal Alharbi DOI: 10.36505/ExLing-2020/11/0004/000419  Published in ExLing 2020 Syllable rate vs. segment rate in perceived speech rate Yahya Aldholmi DOI: 10.36505/ExLing-2020/11/0005/000420  Published in ExLing 2020 Properties of nominal stress grammar in Greek Vasiliki Apostolouda DOI: 10.36505/ExLing-2020/11/0006/000421  Published in ExLing 2020 Eliciting focus-sensitive why-questions in Japanese,10.36505/exling-2020/11/0007/000422,0,Kodai Aramaki; Kanako Ikeda; Kyoko Yamakoshi; Tomohiro Fujii,"<jats:p>The study argues that in focus-sensitive why-questions in Japanese, why must precede its focus associate. It is proposed that this word order restriction follows if the why-as-CPmodifier approach is applied to the Japanese construction under investigation. It also reports the results of the elicitation experiment conducted to experimentally confirm the word order restriction.</jats:p>",job satisfaction,0.0,,ExLing Society,Proceedings of 11th International Conference of Experimental Linguistics,proceedings-article
Microporous Materials for Separation Membranes,10.1007/s10337-020-03968-y,2020,,,job satisfaction,1.0,https://link.springer.com/content/pdf/10.1007/s10337-020-03968-y.pdf,Springer Science and Business Media LLC,Chromatographia,journal-article
Job satisfaction among a select group of coal miners,10.1016/0003-6870(82)90058-8,1982,,,job satisfaction,3.0,,Elsevier BV,Applied Ergonomics,journal-article
The Nature of Job Satisfaction,10.4324/9781003250616-1,2022,Paul E. Spector,,job satisfaction,4.4,,Routledge,Job Satisfaction,book-chapter
Interventions to Improve Job Satisfaction,10.4324/9781003250616-8,2022,Paul E. Spector,,job satisfaction,4.4,,Routledge,Job Satisfaction,book-chapter
The Assessment of Job Satisfaction,10.4324/9781003250616-2,2022,Paul E. Spector,,job satisfaction,4.4,,Routledge,Job Satisfaction,book-chapter
Job satisfaction in early childhood education and care settings,10.1787/219994a6-en,2020,,,job satisfaction,4.0,,OECD,TALIS,other
Introductory Chapter: Job Satisfaction and Career Development,10.5772/intechopen.93088,0,Josiane Fahed-Sreih,,job satisfaction,3.0,,IntechOpen,Career Development and Job Satisfaction,book-chapter
"Effects of Job Organizational Culture, Benefits, Salary on Job Satisfaction Ultimately Affecting Employee Retention",10.4172/2315-7844.1000229,0,Shuja Iqbal; Li Guohao; Shamim Akhtar,,job satisfaction,3.0,,OMICS Publishing Group,Review of Public Administration and Management,journal-article
"Author response for ""Does work–family balance mediate the relationship between work–family conflicts and job satisfaction of academicians?""",10.1002/jcop.22464/v2/response1,2020, Md. M. Rahman;  Noor A. Ali,,job satisfaction,4.0,,Wiley,,peer-review
THE IMPACT OF STRESS AND WORK LIFE BALANCE ON JOB SATISFACTION AMONG FEMALE FACULTY AT SELECT ARTS AND SCIENCE COLLEGES IN COIMBATORE DISTRICT,10.31838/jcr.07.04.138,2020,,,job satisfaction,4.0,,SynthesisHub Advance Scientific Research,Journal of critical reviews,journal-article
Investigating link between job characteristics and job satisfaction of extension workers,10.5897/ajar09.362,0, Ahmad Rezvanfar,,job satisfaction,3.0,,Academic Journals,African Journal of Agricultural Research,journal-article
From Pen to Print: 8 Tips for Getting Published in Literary Magazines,10.33972/trr.53,0,Becky Tuch,"<jats:p xml:lang=""en"">1. Be professional. You have done the first part of your homework by visiting this site. Next, take the time to visit the individual sites of lit mags that you are interested in. Read their guidelines. For some reason, people often consider themselves exempt from rules. You're not. You must play by the rules like everyone else. It doesn't make you boring. It makes your writing accessible.</jats:p>",job satisfaction,0.0,,"Foley Center Library, Gonzaga University",The Review Review,journal-article
Overqualification as Moderator for the Link Between Job Change and Job Satisfaction Among Immigrants and Natives in Germany,10.31235/osf.io/q7nu2,0,Samir Khalil; Almuth Lietz; Sabrina Jasmin Mayer,"<p>Job satisfaction is a major driver of an individual’s subjective well-beingand thus affects public health, societal prosperity, and organisations, asdissatisfied employees are less productive and more likely to change jobs.However, changing jobs does not necessarily lead to higher job satisfactionin the long run. Previous studies have shown, instead, that changingjobs only increases job satisfaction for a short period of time beforeit gradually falls back to similar levels as before. This phenomenon isknown as the ’honeymoon–hangover’ pattern. In our study, we identifyan important new moderator of the relation between job change and jobsatisfaction: the job–qualification match of job change. Based on relativedeprivation theory, we argue that a job change from being overqualified ina job lowers the likelihood of negative comparisons and thus increases thehoneymoon period and lessens the hangover period. In addition, we investigatewhether this moderating effect is less pronounced among immigrants,since the phenomenon of overqualification occurs more frequentlyamong immigrants. We use data from the Socio-Economic Panel rangingfrom 1994–2018 and focus specifically on individual periods of employeesbefore and after job changes (N=134,417). Our results confirm that achange to a job that requires a matched qualification has a stronger andlonger-lasting effect on job satisfaction, and that this effect is slightly lowerfor respondents born abroad.</p>",job satisfaction,5.0,,Center for Open Science,,posted-content
Impact of Incentives on Employees’ Job Satisfaction: Evidence from Bahrain,10.37896/sr7.12/042,2020,,,job satisfaction,4.0,,Engineering Skill Development,Strad Research,journal-article
AUTHOR INDEX,10.1111/j.1464-410x.2006.06086.x,2006,,,job satisfaction,0.0,,Wiley,BJU International,journal-article
"Article with BY print pub date, CY online pub date, issue BY print pub date",10.5555/pubdate12,2000,Bob. Surname,,work performance,0.0,,Test accounts,Journal of Test Deposits,journal-article
"Article with BY print pub date, CY online pub date, issue CY online BY print pub date",10.5555/pubdate9,2000,Bob. Surname,,work performance,0.0,,Test accounts,Journal of Test Deposits,journal-article
"Article with BY print pub date, issue BY print pub date",10.5555/pubdate10,2000,Bob. Surname,,work performance,0.0,,Test accounts,Journal of Test Deposits,journal-article
"Article with BY print pub date, issue CY online BY print pub date",10.5555/pubdate7,2000,Bob. Surname,,work performance,0.0,,Test accounts,Journal of Test Deposits,journal-article
"Article with BY print pub date, CY online pub date, issue CY online pub date",10.5555/pubdate6,2000,Bob. Surname,,work performance,0.0,,Test accounts,Journal of Test Deposits,journal-article
"Article with CY online pub date, issue BY print pub date",10.5555/pubdate11,0,Bob. Surname,,work performance,0.0,,Test accounts,Journal of Test Deposits,journal-article
"Article with CY online pub date, issue CY onlineBY print pub date",10.5555/pubdate8,0,Bob. Surname,,work performance,0.0,,Test accounts,Journal of Test Deposits,journal-article
Guide to Microforms in Print: Author/Title; Guide to Microforms in Print: Subject. 2 vols,10.1163/2468-1733_shafr_sim020030030,0,,,work performance,0.0,,Brill,The SHAFR Guide Online,dataset
4. From Authorized Print to Authoritative Author: The Regulated Trade,10.1515/9780295801759-005,2012,,,work performance,0.0,,University of Washington Press,The Work of Print,book-chapter
"Title, author, date",10.1017/cbo9781107297951.002,1983,,,work performance,0.0,,Cambridge University Press,A Study of Daphnis and Chloe,book-chapter
URL Data Type,10.32388/yfmyre,0, ,,work performance,0.0,,Qeios,Definitions,reference-entry
From the Editor…: Make the Title Count,10.1111/j.1750-4910.2013.tb00161.x,2013,Marilyn H. Oermann; Adrianne K. Leonardelli,,work performance,0.0,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1750-4910.2013.tb00161.x,Wiley,Nurse Author &amp; Editor,journal-article
Guide to Microforms in Print 2002: Incorporating International Microforms in Print. Author‐Title,10.1108/09504120310455768,2003,,,work performance,0.0,,Emerald,Reference Reviews,journal-article
"Print, Sign, Date Form",10.32388/76qi4j,0, ,,work performance,0.0,,Qeios,Definitions,reference-entry
Select Bibliography (Works Published after 1800),10.1017/9781139021289.009,2019,,,work performance,0.8,,Cambridge University Press,Conflict and Enlightenment,book-chapter
Publishers and Distributors incorporating Print-on-Demand,10.1515/9783110405354-021,2021,,,work performance,1.2,,De Gruyter,Author Title and Subject Guide,book-chapter
Publishers and Distributors incorporating Print-on-Demand,10.1515/9783110405354-007,2021,,,work performance,1.2,,De Gruyter,Author Title and Subject Guide,book-chapter
A New Type of Standardized Statistical Work,10.23943/princeton/9780691179476.003.0002,2020,Arunabh Ghosh,"<p>This chapter explores early statistical work in the People's Republic of China's (PRC) Northeast, arguing that this work and the practical experience so gained was the foundation upon which the rest of the country's statistical apparatus was based. Unpacking the constituent elements of Wang Sihua's “new type of standardized statistical work” permits an articulation of the ways in which this new type of statistics was regarded as more standardized, correct, and scientific than what preceded it in the years before 1949. The chapter shows that the 1950s were shot through with the influence, rarely pedagogical or technical in nature but rather all-pervasive and methodological, of what by 1959 would come to be termed the Maoist model of ascertaining fact. This Maoist model, with its emphases on direct experience over technical knowledge and on ideological fervor as a source of expertise, rendered the earlier binary and the clean solutions it offered much more conflicted. As a result, statisticians and statistical workers throughout the 1950s found themselves not only transitioning from a “nonsocialist” to a “socialist” system of data collection and analysis but also operating in a milieu that particularly valued personal, individual, practical experience.</p>",work performance,1.0,,Princeton University Press,Making It Count,book-chapter
Discrete Set Telecommunication URL Data Type,10.32388/29d9od,0, ,,work performance,0.0,,Qeios,Definitions,reference-entry
An Experiment to Link Geo-Referenced Multimedia and CityGML Features,10.62973/19-090r1,0,,,work performance,0.0,,"Open Geospatial Consortium, Inc.",,report
Work Performance of Print Media Employees: A Path Analysis using Organization and Psychological Behaviors,10.31235/osf.io/mfj8c,0,Rachel Advincula,"<p>This study determined the best fit model of work performance among print media employees in Region XI. In an attempt to answer the objective, a quantitative research method utilizing a descriptive-correlational research design was employed. The study was conducted in Region XI which is located at the Southeastern  part  of  Mindanao, Philippines. The employees of print media companies in Region XI were the respondents particularly those in printing press business industry that offers printing, publications, and adverting services. There were 419 employees of printing industry participated in the study. The study was employed the questionnaires adapted from different studies and to fit the context of the respondents of this study. The instrument was divided into four parts such as Innovative Work Behavior, Work Engagement, Organization learning and Work Performance. Results revealed that there is a significant relationship between innovative work behavior, organizational learning, work engagement and work performance of print media employees. Among the three independent variables, only the organizational learning and work engagement significantly predict employees work performance while the innovative work behavior does significantly predict employees work performance. Since organizational learning and work engagement were significant predictors of employees work performance, it is recommended that the management of print media will consider these variables in formulating training like advance multimedia, seminars on capacity building, and rewards and incentives program to improve employees work performance.</p>",work performance,5.0,,Center for Open Science,,posted-content
Revising it Right: Five Steps to Help You Get Your Work Published,10.1111/j.1750-4910.2020.tb00003.x,2020,Jennifer Chicca; Teresa Shellenbarger,,work performance,1.0,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1750-4910.2020.tb00003.x,Wiley,Nurse Author &amp; Editor,journal-article
How do writing systems shape reading and reading acquisition? Kathy Rastle DOI: 10.36505/ExLing-2020/11/0001/000416  Published in ExLing 2020 Children’s syntax: a parametric approach William Snyder DOI: 10.36505/ExLing-2020/11/0002/000417  Published in ExLing 2020 A neurophonetic perspective on articulation planning Wolfram Ziegler DOI: 10.36505/ExLing-2020/11/0003/000418  Published in ExLing 2020 Masked priming in picture naming and lexical selection Manal Alharbi DOI: 10.36505/ExLing-2020/11/0004/000419  Published in ExLing 2020 Syllable rate vs. segment rate in perceived speech rate Yahya Aldholmi DOI: 10.36505/ExLing-2020/11/0005/000420  Published in ExLing 2020 Properties of nominal stress grammar in Greek Vasiliki Apostolouda DOI: 10.36505/ExLing-2020/11/0006/000421  Published in ExLing 2020 Eliciting focus-sensitive why-questions in Japanese,10.36505/exling-2020/11/0007/000422,0,Kodai Aramaki; Kanako Ikeda; Kyoko Yamakoshi; Tomohiro Fujii,"<jats:p>The study argues that in focus-sensitive why-questions in Japanese, why must precede its focus associate. It is proposed that this word order restriction follows if the why-as-CPmodifier approach is applied to the Japanese construction under investigation. It also reports the results of the elicitation experiment conducted to experimentally confirm the word order restriction.</jats:p>",work performance,0.0,,ExLing Society,Proceedings of 11th International Conference of Experimental Linguistics,proceedings-article
Microporous Materials for Separation Membranes,10.1007/s10337-020-03968-y,2020,,,work performance,1.0,https://link.springer.com/content/pdf/10.1007/s10337-020-03968-y.pdf,Springer Science and Business Media LLC,Chromatographia,journal-article
6 “BEING POOR DOESN’T COUNT”,10.5040/9798400638824.0009,2003,,,work performance,0.0,,Libraries Unlimited,Defining Print Culture for Youth,other
FFTF main heat transport system/dump heat exchanger testing and performance evaluation (initial pub date April 1978),10.2172/709865,0,S. W. Claybrook,,work performance,0.0,,Office of Scientific and Technical Information (OSTI),,report
Print capitalism meets Hollywood. The work of industrial authorship,10.4324/9780429201035-5,2020,Kathy Bowrey,,work performance,1.0,,Routledge,"Copyright, Creativity, Big Media and Cultural Value",book-chapter
From Pen to Print: 8 Tips for Getting Published in Literary Magazines,10.33972/trr.53,0,Becky Tuch,"<jats:p xml:lang=""en"">1. Be professional. You have done the first part of your homework by visiting this site. Next, take the time to visit the individual sites of lit mags that you are interested in. Read their guidelines. For some reason, people often consider themselves exempt from rules. You're not. You must play by the rules like everyone else. It doesn't make you boring. It makes your writing accessible.</jats:p>",work performance,0.0,,"Foley Center Library, Gonzaga University",The Review Review,journal-article
AUTHOR INDEX,10.1111/j.1464-410x.2006.06086.x,2006,,,work performance,0.0,,Wiley,BJU International,journal-article
